,character,consonant,vowel,tone,segment1,segment2,mlabel,slabel,mlabel2,slabel2,freq,consonant1,vowel1,tone1,consonant2,vowel2,tone2
746,汻,h,ang,3,氵,午,r,l,radical,radical,rare,sh,ui,3,w,u,3
747,許,x,u,3,言,午,r,r,rhyming,rhyming,mid,y,an,2,w,u,3
748,伴,b,an,4,亻,半,r,r,regular,regular,high,r,en,2,b,an,4
749,姅,b,an,4,女,半,r,r,regular,regular,rare,n,v,3,b,an,4
750,拌,b,an,4,扌,半,r,r,regular,regular,high,sh,ou,3,b,an,4
751,泮,p,an,4,氵,半,r,r,rhyming,rhyming,mid,sh,ui,3,b,an,4
752,畔,p,an,4,田,半,r,r,rhyming,rhyming,high,t,ian,2,b,an,4
753,絆,b,an,4,糸,半,r,r,regular,regular,low,m,i,4,b,an,4
754,胖,p,ang,4,肉,半,r,r,radical,radical,high,r,ou,4,b,an,4
755,袢,p,an,4,衤,半,r,r,rhyming,rhyming,mid,y,i,1,b,an,4
756,俾,b,i,3,亻,卑,r,r,alliterating,alliterating,high,r,en,2,b,ei,1
757,埤,p,i,2,土,卑,r,r,radical,radical,mid,t,u,3,b,ei,1
758,婢,b,i,4,女,卑,r,r,alliterating,alliterating,high,n,v,3,b,ei,1
759,捭,b,ai,3,扌,卑,r,r,alliterating,alliterating,mid,sh,ou,3,b,ei,1
760,朇,p,i,2,會,卑,r,r,radical,radical,rare,h,ui,4,b,ei,1
761,椑,b,ei,1,木,卑,r,r,regular,regular,low,m,u,4,b,ei,1
762,牌,p,ai,2,片,卑,r,l,radical,alliterating,high,p,ian,4,b,ei,1
763,猈,b,a,4,犭,卑,r,r,alliterating,alliterating,rare,q,uan,3,b,ei,1
764,睥,b,i,4,目,卑,r,r,alliterating,alliterating,mid,m,u,4,b,ei,1
765,碑,b,ei,1,石,卑,r,r,regular,regular,high,sh,i,2,b,ei,1
766,稗,b,ai,4,禾,卑,r,r,alliterating,alliterating,mid,h,e,2,b,ei,1
767,粺,b,ai,4,米,卑,r,r,alliterating,alliterating,rare,m,i,3,b,ei,1
768,脾,p,i,2,肉,卑,r,r,radical,radical,high,r,ou,4,b,ei,1
769,裨,b,i,4,衤,卑,r,r,alliterating,alliterating,mid,y,i,1,b,ei,1
770,錍,p,i,2,釒,卑,r,r,radical,radical,rare,j,in,1,b,ei,1
771,陴,p,i,2,阝,卑,r,r,radical,radical,mid,f,u,4,b,ei,1
772,鞞,b,ing,3,革,卑,r,r,alliterating,alliterating,mid,g,e,2,b,ei,1
773,髀,b,i,4,骨,卑,r,l,alliterating,radical,mid,g,u,3,b,ei,1
774,倅,c,ui,4,亻,卒,r,l,radical,radical,mid,r,en,2,z,u,2
775,啐,c,ui,4,口,卒,r,r,radical,radical,high,k,ou,3,z,u,2
776,埣,s,ui,4,土,卒,r,r,radical,radical,low,t,u,3,z,u,2
777,悴,c,ui,4,忄,卒,r,l,radical,radical,high,x,in,1,z,u,2
778,捽,z,u,2,扌,卒,r,r,regular,regular,mid,sh,ou,3,z,u,2
779,晬,z,ui,4,日,卒,r,r,alliterating,alliterating,low,r,i,4,z,u,2
780,淬,c,ui,4,氵,卒,r,l,radical,rhyming,high,sh,ui,3,z,u,2
781,焠,c,ui,4,火,卒,r,r,radical,radical,low,h,uo,3,z,u,2
782,猝,c,u,4,犭,卒,r,r,rhyming,rhyming,high,q,uan,3,z,u,2
783,碎,s,ui,4,石,卒,r,l,radical,radical,high,sh,i,2,z,u,2
784,粹,c,ui,4,米,卒,r,l,radical,radical,high,m,i,3,z,u,2
785,誶,s,ui,4,言,卒,r,r,radical,radical,low,y,an,2,z,u,2
786,醉,z,ui,4,酉,卒,r,r,alliterating,alliterating,high,y,ou,3,z,u,2
787,倬,zh,uo,1,亻,卓,r,r,regular,regular,mid,r,en,2,zh,uo,1
788,啅,zh,uo,2,口,卓,r,r,regular,regular,low,k,ou,3,zh,uo,1
789,婥,ch,uo,4,女,卓,r,r,rhyming,rhyming,mid,n,v,3,zh,uo,1
790,悼,d,ao,4,忄,卓,r,r,radical,radical,high,x,in,1,zh,uo,1
791,掉,d,iao,4,扌,卓,r,r,radical,radical,high,sh,ou,3,zh,uo,1
792,棹,zh,uo,1,木,卓,r,r,regular,regular,mid,m,u,4,zh,uo,1
793,淖,n,ao,4,氵,卓,r,r,radical,radical,mid,sh,ui,3,zh,uo,1
794,焯,zh,uo,2,火,卓,r,r,regular,regular,mid,h,uo,3,zh,uo,1
795,綽,ch,uo,4,糸,卓,r,r,rhyming,rhyming,low,m,i,4,zh,uo,1
796,繛,ch,uo,4,素,卓,r,r,rhyming,rhyming,rare,s,u,4,zh,uo,1
797,仆,p,u,1,亻,卜,r,r,rhyming,rhyming,high,r,en,2,b,u,3
798,卟,b,u,3,口,卜,r,r,regular,regular,mid,k,ou,3,b,u,3
799,圤,p,u,3,土,卜,r,r,rhyming,rhyming,low,t,u,3,b,u,3
800,卦,g,ua,4,圭,卜,l,l,alliterating,alliterating,high,g,ui,1,b,u,3
801,朴,p,o,4,木,卜,r,r,radical,radical,high,m,u,4,b,u,3
802,訃,f,u,4,言,卜,r,r,rhyming,rhyming,low,y,an,2,b,u,3
803,坫,d,ian,4,土,占,r,r,radical,radical,mid,t,u,3,zh,an,1
804,帖,t,ie,1,巾,占,r,l,radical,radical,high,j,in,1,zh,an,1
805,拈,n,ian,2,扌,占,r,r,radical,radical,high,sh,ou,3,zh,an,1
806,枮,x,ian,1,木,占,r,r,radical,radical,low,m,u,4,zh,an,1
807,沾,zh,an,1,氵,占,r,r,regular,regular,high,sh,ui,3,zh,an,1
808,砧,zh,en,1,石,占,r,r,alliterating,alliterating,mid,sh,i,2,zh,an,1
809,站,zh,an,4,立,占,r,r,regular,regular,high,l,i,4,zh,an,1
810,蛅,r,an,2,虫,占,r,r,rhyming,rhyming,rare,ch,ong,2,zh,an,1
811,貼,t,ie,1,貝,占,r,l,radical,radical,mid,b,ei,4,zh,an,1
812,鉆,ch,an,1,釒,占,r,r,rhyming,rhyming,low,j,in,1,zh,an,1
813,阽,d,ian,4,阝,占,r,r,radical,radical,mid,f,u,4,zh,an,1
814,鮎,n,ian,2,魚,占,r,r,radical,radical,low,y,u,2,zh,an,1
815,黇,t,ian,1,黄,占,r,l,radical,radical,rare,h,uang,2,zh,an,1
816,黏,n,ian,2,黍,占,r,r,radical,radical,high,sh,u,3,zh,an,1
817,點,d,ian,3,黑,占,r,r,radical,radical,high,h,ei,1,zh,an,1
818,叩,k,ou,4,口,卩,l,l,regular,regular,high,k,ou,3,j,ie,2
819,卲,sh,ao,4,召,卩,l,l,rhyming,rhyming,low,zh,ao,4,j,ie,2
820,卶,sh,i,4,多,卩,l,r,radical,radical,rare,d,uo,1,j,ie,2
821,厀,x,i,1,桼,卩,l,l,rhyming,rhyming,low,q,i,1,j,ie,2
822,卽,j,i,2,皀,卩,l,r,rhyming,alliterating,low,b,i,1,j,ie,2
823,垝,g,ui,3,土,危,r,l,radical,radical,low,t,u,3,w,ei,1
824,姽,g,ui,3,女,危,r,l,radical,radical,mid,n,v,3,w,ei,1
825,恑,g,ui,3,忄,危,r,l,radical,radical,low,x,in,1,w,ei,1
826,桅,w,ei,2,木,危,r,r,regular,regular,high,m,u,4,w,ei,1
827,洈,w,ei,2,氵,危,r,r,regular,regular,rare,sh,ui,3,w,ei,1
828,祪,g,ui,3,礻,危,r,l,radical,radical,rare,sh,i,4,w,ei,1
829,蛫,g,ui,3,虫,危,r,l,radical,radical,rare,ch,ong,2,w,ei,1
830,詭,g,ui,3,言,危,r,r,radical,radical,mid,y,an,2,w,ei,1
831,陒,g,ui,3,阝,危,r,l,radical,radical,rare,f,u,4,w,ei,1
832,鮠,w,ei,2,魚,危,r,r,regular,regular,rare,y,u,2,w,ei,1
833,倦,j,uan,4,亻,卷,r,r,regular,regular,high,r,en,2,j,uan,4
834,惓,q,uan,2,忄,卷,r,r,rhyming,rhyming,mid,x,in,1,j,uan,4
835,捲,j,uan,3,扌,卷,r,r,regular,regular,mid,sh,ou,3,j,uan,4
836,綣,q,uan,3,糸,卷,r,r,rhyming,rhyming,low,m,i,4,j,uan,4
837,蜷,q,uan,2,虫,卷,r,r,rhyming,rhyming,high,ch,ong,2,j,uan,4
838,傆,y,uan,4,亻,原,r,r,regular,regular,rare,r,en,2,y,uan,2
839,嫄,y,uan,2,女,原,r,r,regular,regular,mid,n,v,3,y,uan,2
840,源,y,uan,2,氵,原,r,r,regular,regular,high,sh,ui,3,y,uan,2
841,縓,q,uan,3,糸,原,r,l,rhyming,radical,rare,m,i,4,y,uan,2
842,謜,y,uan,4,言,原,r,r,regular,regular,rare,y,an,2,y,uan,2
843,豲,h,uan,2,豕,原,r,l,rhyming,radical,low,sh,i,3,y,uan,2
844,濿,l,i,4,氵,厲,r,r,regular,regular,low,sh,ui,3,l,i,4
845,犡,l,i,4,牜,厲,r,r,regular,regular,low,n,iu,2,l,i,4
846,礪,l,i,4,石,厲,r,r,regular,regular,rare,sh,i,2,l,i,4
847,糲,l,i,4,米,厲,r,r,regular,regular,mid,m,i,3,l,i,4
848,蠣,l,i,4,虫,厲,r,r,regular,regular,low,ch,ong,2,l,i,4
849,怯,q,ie,4,忄,去,r,r,alliterating,alliterating,high,x,in,1,q,u,4
850,胠,q,u,1,肉,去,r,r,regular,regular,low,r,ou,4,q,u,4
851,袪,q,u,1,衤,去,r,r,regular,regular,mid,y,i,1,q,u,4
852,阹,q,u,1,阝,去,r,r,regular,regular,low,f,u,4,q,u,4
853,魼,q,u,1,魚,去,r,r,regular,regular,low,y,u,2,q,u,4
854,麮,q,u,4,麥,去,r,r,regular,regular,rare,m,ai,4,q,u,4
855,傪,c,an,1,亻,參,r,r,regular,regular,low,r,en,2,c,an,1
856,慘,c,an,3,忄,參,r,r,regular,regular,mid,x,in,1,c,an,1
857,摻,sh,an,3,扌,參,r,r,rhyming,rhyming,low,sh,ou,3,c,an,1
858,槮,s,en,1,木,參,r,r,radical,radical,low,m,u,4,c,an,1
859,滲,sh,en,4,氵,參,r,l,radical,alliterating,mid,sh,ui,3,c,an,1
860,犙,s,an,1,牜,參,r,r,rhyming,rhyming,rare,n,iu,2,c,an,1
861,糝,s,an,3,米,參,r,r,rhyming,rhyming,mid,m,i,3,c,an,1
862,縿,sh,an,1,糸,參,r,r,rhyming,rhyming,rare,m,i,4,c,an,1
863,謲,c,an,1,言,參,r,r,regular,regular,rare,y,an,2,c,an,1
864,驂,c,an,1,馬,參,r,r,regular,regular,mid,m,a,3,c,an,1
865,鰺,s,ao,1,魚,參,r,r,radical,radical,rare,y,u,2,c,an,1
866,黲,c,an,3,黑,參,r,r,regular,regular,low,h,ei,1,c,an,1
867,叔,sh,u,1,尗,又,l,l,regular,regular,high,sh,u,2,y,ou,4
868,取,q,u,3,耳,又,r,l,radical,radical,high,0,er,3,y,ou,4
869,臤,q,ian,1,臣,又,l,l,radical,radical,rare,ch,en,2,y,ou,4
870,馭,y,u,4,馬,又,r,r,alliterating,alliterating,low,m,a,3,y,ou,4
871,扠,ch,a,1,扌,叉,r,r,regular,regular,mid,sh,ou,3,ch,a,1
872,杈,ch,a,1,木,叉,r,r,regular,regular,high,m,u,4,ch,a,1
873,釵,ch,ai,1,釒,叉,r,r,alliterating,alliterating,low,j,in,1,ch,a,1
874,靫,ch,a,1,革,叉,r,r,regular,regular,rare,g,e,2,ch,a,1
875,伋,j,i,2,亻,及,r,r,regular,regular,mid,r,en,2,j,i,2
876,吸,x,i,1,口,及,r,r,rhyming,rhyming,high,k,ou,3,j,i,2
877,彶,j,i,2,彳,及,r,r,regular,regular,rare,ch,i,4,j,i,2
878,扱,x,i,1,扌,及,r,r,rhyming,rhyming,rare,sh,ou,3,j,i,2
879,极,j,i,2,木,及,r,r,regular,regular,high,m,u,4,j,i,2
880,汲,j,i,2,氵,及,r,r,regular,regular,high,sh,ui,3,j,i,2
881,級,j,i,2,糸,及,r,r,regular,regular,mid,m,i,4,j,i,2
882,鈒,j,i,2,釒,及,r,r,regular,regular,low,j,in,1,j,i,2
883,靸,s,a,3,革,及,r,r,radical,radical,mid,g,e,2,j,i,2
884,馺,s,a,4,馬,及,r,l,radical,rhyming,rare,m,a,3,j,i,2
885,叛,p,an,4,半,反,r,l,rhyming,rhyming,high,b,an,4,f,an,3
886,昄,b,an,3,日,反,r,r,rhyming,rhyming,low,r,i,4,f,an,3
887,板,b,an,3,木,反,r,r,rhyming,rhyming,high,m,u,4,f,an,3
888,汳,b,ian,4,氵,反,r,r,radical,radical,rare,sh,ui,3,f,an,3
889,版,b,an,3,片,反,r,l,rhyming,radical,high,p,ian,4,f,an,3
890,眅,p,an,1,目,反,r,r,rhyming,rhyming,low,m,u,4,f,an,3
891,販,f,an,4,貝,反,r,r,regular,regular,low,b,ei,4,f,an,3
892,阪,b,an,3,阝,反,r,r,rhyming,rhyming,high,f,u,4,f,an,3
893,飯,f,an,4,飠,反,r,r,regular,regular,mid,sh,i,2,f,an,3
894,俶,ch,u,4,亻,叔,r,r,rhyming,rhyming,mid,r,en,2,sh,u,1
895,埱,sh,u,2,土,叔,r,r,regular,regular,low,t,u,3,sh,u,1
896,椒,j,iao,1,木,叔,r,r,radical,radical,high,m,u,4,sh,u,1
897,淑,sh,u,2,氵,叔,r,r,regular,regular,high,sh,ui,3,sh,u,1
898,琡,ch,u,4,王,叔,r,r,rhyming,rhyming,rare,w,ang,2,sh,u,1
899,啜,ch,uo,4,口,叕,r,r,rhyming,rhyming,high,k,ou,3,zh,uo,2
900,娺,zh,ui,1,女,叕,r,r,alliterating,alliterating,rare,n,v,3,zh,uo,2
901,惙,ch,uo,4,忄,叕,r,r,rhyming,rhyming,low,x,in,1,zh,uo,2
902,掇,d,uo,2,扌,叕,r,r,rhyming,rhyming,high,sh,ou,3,zh,uo,2
903,棳,zh,uo,2,木,叕,r,r,regular,regular,rare,m,u,4,zh,uo,2
904,畷,ch,uo,4,田,叕,r,r,rhyming,rhyming,low,t,ian,2,zh,uo,2
905,綴,zh,ui,4,糸,叕,r,r,alliterating,alliterating,low,m,i,4,zh,uo,2
906,腏,ch,uo,4,肉,叕,r,r,rhyming,rhyming,rare,r,ou,4,zh,uo,2
907,輟,ch,uo,4,車,叕,r,r,rhyming,rhyming,low,ch,e,1,zh,uo,2
911,錣,zh,uo,2,釒,叕,r,r,regular,regular,rare,j,in,1,zh,uo,2
912,餟,zh,ui,4,飠,叕,r,r,alliterating,alliterating,low,sh,i,2,zh,uo,2
913,娵,j,u,1,女,取,r,l,rhyming,radical,low,n,v,3,q,u,3
914,掫,z,ou,1,扌,取,r,l,radical,rhyming,low,sh,ou,3,q,u,3
915,棷,z,ou,1,木,取,r,r,radical,radical,rare,m,u,4,q,u,3
916,緅,z,ou,1,糸,取,r,l,radical,radical,low,m,i,4,q,u,3
917,諏,z,ou,1,言,取,r,r,radical,radical,low,y,an,2,q,u,3
918,陬,z,ou,1,阝,取,r,r,radical,radical,mid,f,u,4,q,u,3
919,鯫,z,ou,1,魚,取,r,r,radical,radical,low,y,u,2,q,u,3
920,齱,z,ou,1,齒,取,r,l,radical,radical,rare,ch,i,3,q,u,3
921,假,j,ia,3,亻,叚,r,r,regular,regular,high,r,en,2,j,ia,3
922,嘏,g,u,3,古,叚,r,l,radical,regular,mid,g,u,3,j,ia,3
923,徦,j,ia,3,彳,叚,r,r,regular,regular,rare,ch,i,4,j,ia,3
924,暇,x,ia,2,日,叚,r,r,rhyming,rhyming,high,r,i,4,j,ia,3
925,椵,j,ia,3,木,叚,r,r,regular,regular,rare,m,u,4,j,ia,3
926,瑕,x,ia,2,王,叚,r,r,rhyming,rhyming,high,w,ang,2,j,ia,3
927,蝦,x,ia,1,虫,叚,r,r,rhyming,rhyming,low,ch,ong,2,j,ia,3
928,豭,j,ia,1,豕,叚,r,r,regular,regular,rare,sh,i,3,j,ia,3
929,赮,x,ia,2,赤,叚,r,r,rhyming,rhyming,rare,ch,i,4,j,ia,3
930,鍜,x,ia,1,釒,叚,r,r,rhyming,rhyming,rare,j,in,1,j,ia,3
931,騢,x,ia,2,馬,叚,r,r,rhyming,rhyming,rare,m,a,3,j,ia,3
932,鰕,x,ia,2,魚,叚,r,r,rhyming,rhyming,rare,y,u,2,j,ia,3
933,扣,k,ou,4,扌,口,r,r,regular,regular,high,sh,ou,3,k,ou,3
934,釦,k,ou,4,釒,口,r,r,regular,regular,low,j,in,1,k,ou,3
935,估,g,u,1,亻,古,r,r,regular,regular,high,r,en,2,g,u,3
936,姑,g,u,1,女,古,r,r,regular,regular,high,n,v,3,g,u,3
937,岵,h,u,4,山,古,r,r,rhyming,rhyming,mid,sh,an,1,g,u,3
938,怙,h,u,4,忄,古,r,r,rhyming,rhyming,mid,x,in,1,g,u,3
939,枯,k,u,1,木,古,r,r,rhyming,rhyming,high,m,u,4,g,u,3
940,沽,g,u,1,氵,古,r,r,regular,regular,high,sh,ui,3,g,u,3
941,祜,h,u,4,礻,古,r,r,rhyming,rhyming,mid,sh,i,4,g,u,3
942,蛄,g,u,1,虫,古,r,r,regular,regular,mid,ch,ong,2,g,u,3
943,詁,g,u,3,言,古,r,r,regular,regular,mid,y,an,2,g,u,3
944,酤,g,u,1,酉,古,r,r,regular,regular,mid,y,ou,3,g,u,3
945,鈷,g,u,3,釒,古,r,r,regular,regular,mid,j,in,1,g,u,3
946,佝,k,ou,4,亻,句,r,l,radical,radical,high,r,en,2,j,u,4
947,姁,x,u,3,女,句,r,r,rhyming,rhyming,mid,n,v,3,j,u,4
948,怐,k,ou,4,忄,句,r,r,radical,radical,rare,x,in,1,j,u,4
949,拘,j,u,1,扌,句,r,r,regular,regular,high,sh,ou,3,j,u,4
950,昫,x,u,3,日,句,r,r,rhyming,rhyming,low,r,i,4,j,u,4
951,枸,j,u,3,木,句,r,r,regular,regular,mid,m,u,4,j,u,4
952,狗,g,ou,3,犭,句,r,l,radical,radical,high,q,uan,3,j,u,4
953,玽,g,ou,3,王,句,r,r,radical,radical,low,w,ang,2,j,u,4
954,竘,j,u,3,立,句,r,r,regular,regular,low,l,i,4,j,u,4
955,絇,j,u,4,糸,句,r,r,regular,regular,rare,m,i,4,j,u,4
956,胊,q,u,2,肉,句,r,r,rhyming,rhyming,low,r,ou,4,j,u,4
957,蚼,g,ou,3,虫,句,r,l,radical,radical,rare,ch,ong,2,j,u,4
958,軥,q,u,2,車,句,r,r,rhyming,rhyming,low,ch,e,1,j,u,4
959,鉤,g,ou,1,釒,句,r,l,radical,radical,low,j,in,1,j,u,4
960,駒,j,u,1,馬,句,r,r,regular,regular,low,m,a,3,j,u,4
961,鼩,q,u,2,鼠,句,r,l,rhyming,rhyming,low,sh,u,3,j,u,4
962,齣,ch,u,1,齒,句,r,l,rhyming,alliterating,low,ch,i,3,j,u,4
963,伿,y,i,4,亻,只,r,r,rhyming,rhyming,rare,r,en,2,zh,i,3
964,抧,zh,i,3,扌,只,r,r,regular,regular,low,sh,ou,3,zh,i,3
965,枳,zh,i,1,木,只,r,r,regular,regular,mid,m,u,4,zh,i,3
966,胑,zh,i,1,肉,只,r,r,regular,regular,rare,r,ou,4,zh,i,3
967,軹,zh,i,3,車,只,r,r,regular,regular,mid,ch,e,1,zh,i,3
968,齞,n,ian,4,齒,只,r,r,radical,radical,rare,ch,i,3,zh,i,3
969,佋,sh,ao,4,亻,召,r,r,rhyming,rhyming,low,r,en,2,zh,ao,4
970,弨,ch,ao,1,弓,召,r,r,rhyming,rhyming,low,g,ong,1,zh,ao,4
971,怊,ch,ao,1,忄,召,r,r,rhyming,rhyming,low,x,in,1,zh,ao,4
972,招,zh,ao,1,扌,召,r,r,regular,regular,high,sh,ou,3,zh,ao,4
973,昭,zh,ao,1,日,召,r,r,regular,regular,high,r,i,4,zh,ao,4
974,柖,zh,ao,1,木,召,r,r,regular,regular,rare,m,u,4,zh,ao,4
975,沼,zh,ao,3,氵,召,r,r,regular,regular,high,sh,ui,3,zh,ao,4
976,紹,sh,ao,4,糸,召,r,r,rhyming,rhyming,mid,m,i,4,zh,ao,4
977,蛁,d,iao,1,虫,召,r,r,radical,radical,low,ch,ong,2,zh,ao,4
978,袑,sh,ao,4,衤,召,r,r,rhyming,rhyming,low,y,i,1,zh,ao,4
979,詔,zh,ao,4,言,召,r,r,regular,regular,low,y,an,2,zh,ao,4
980,貂,d,iao,1,豸,召,r,r,radical,radical,high,zh,i,4,zh,ao,4
981,軺,y,ao,2,車,召,r,r,rhyming,rhyming,mid,ch,e,1,zh,ao,4
982,鉊,zh,ao,1,釒,召,r,r,regular,regular,low,j,in,1,zh,ao,4
983,鞀,t,ao,2,革,召,r,r,rhyming,rhyming,rare,g,e,2,zh,ao,4
984,韶,sh,ao,2,音,召,r,r,rhyming,rhyming,high,y,in,1,zh,ao,4
985,齠,t,iao,2,齒,召,r,r,radical,radical,mid,ch,i,3,zh,ao,4
986,何,h,e,2,亻,可,r,r,rhyming,rhyming,high,r,en,2,k,e,3
987,呵,h,e,1,口,可,r,r,rhyming,rhyming,high,k,ou,3,k,e,3
988,坷,k,e,3,土,可,r,r,regular,regular,high,t,u,3,k,e,3
989,妸,0,e,1,女,可,r,r,rhyming,rhyming,low,n,v,3,k,e,3
990,柯,k,e,1,木,可,r,r,regular,regular,high,m,u,4,k,e,3
991,河,h,e,2,氵,可,r,r,rhyming,rhyming,high,sh,ui,3,k,e,3
992,珂,k,e,1,王,可,r,r,regular,regular,high,w,ang,2,k,e,3
993,砢,l,uo,3,石,可,r,r,radical,radical,low,sh,i,2,k,e,3
994,舸,g,e,3,舟,可,r,r,rhyming,rhyming,mid,zh,ou,1,k,e,3
995,訶,h,e,1,言,可,r,r,rhyming,rhyming,mid,y,an,2,k,e,3
996,軻,k,e,1,車,可,r,r,regular,regular,low,ch,e,1,k,e,3
997,阿,0,a,1,阝,可,r,r,radical,radical,high,f,u,4,k,e,3
998,鴚,g,e,1,鳥,可,r,r,rhyming,rhyming,rare,n,iao,3,k,e,3
999,佁,0,ai,3,亻,台,r,r,rhyming,rhyming,low,r,en,2,t,ai,2
1000,冶,y,e,3,冫,台,r,l,radical,radical,high,b,ing,1,t,ai,2
1001,始,sh,i,3,女,台,r,l,radical,radical,high,n,v,3,t,ai,2
1002,怡,y,i,2,忄,台,r,r,radical,radical,high,x,in,1,t,ai,2
1003,枱,y,i,2,木,台,r,r,radical,radical,mid,m,u,4,t,ai,2
1004,殆,d,ai,4,歹,台,r,l,rhyming,regular,high,d,ai,3,t,ai,2
1005,治,zh,i,4,氵,台,r,l,radical,radical,high,sh,ui,3,t,ai,2
1006,眙,ch,i,4,目,台,r,l,radical,radical,mid,m,u,4,t,ai,2
1007,紿,d,ai,4,糸,台,r,r,rhyming,rhyming,low,m,i,4,t,ai,2
1008,胎,t,ai,1,肉,台,r,r,regular,regular,high,r,ou,4,t,ai,2
1009,詒,y,i,2,言,台,r,l,radical,alliterating,rare,y,an,2,t,ai,2
1010,貽,y,i,2,貝,台,r,r,radical,radical,low,b,ei,4,t,ai,2
1011,鈶,y,i,2,釒,台,r,r,radical,radical,rare,j,in,1,t,ai,2
1012,飴,y,i,2,飠,台,r,l,radical,rhyming,rare,sh,i,2,t,ai,2
1013,駘,t,ai,2,馬,台,r,r,regular,regular,mid,m,a,3,t,ai,2
1014,鮐,t,ai,2,魚,台,r,r,regular,regular,low,y,u,2,t,ai,2
1015,齝,ch,i,1,齒,台,r,l,radical,regular,rare,ch,i,3,t,ai,2
1016,伺,s,i,4,亻,司,r,r,regular,regular,high,r,en,2,s,i,1
1017,祠,c,i,2,礻,司,r,r,rhyming,rhyming,high,sh,i,4,s,i,1
1018,詞,c,i,2,言,司,r,r,rhyming,rhyming,mid,y,an,2,s,i,1
1019,飼,s,i,4,飠,司,r,r,regular,regular,low,sh,i,2,s,i,1
1020,咯,g,e,1,口,各,r,r,regular,regular,high,k,ou,3,g,e,4
1021,垎,k,e,4,土,各,r,r,rhyming,rhyming,rare,t,u,3,g,e,4
1022,恪,k,e,4,忄,各,r,r,rhyming,rhyming,high,x,in,1,g,e,4
1023,挌,g,e,2,扌,各,r,r,regular,regular,low,sh,ou,3,g,e,4
1024,格,g,e,2,木,各,r,r,regular,regular,high,m,u,4,g,e,4
1025,洛,l,uo,4,氵,各,r,l,radical,radical,high,sh,ui,3,g,e,4
1026,烙,l,uo,4,火,各,r,l,radical,rhyming,high,h,uo,3,g,e,4
1027,狢,h,e,2,犭,各,r,r,rhyming,rhyming,low,q,uan,3,g,e,4
1028,珞,l,uo,4,王,各,r,r,radical,radical,high,w,ang,2,g,e,4
1029,略,l,ve,4,田,各,r,r,radical,radical,high,t,ian,2,g,e,4
1030,絡,l,uo,4,糸,各,r,r,radical,radical,low,m,i,4,g,e,4
1031,胳,g,e,1,肉,各,r,r,regular,regular,high,r,ou,4,g,e,4
1032,詻,0,e,4,言,各,r,l,rhyming,radical,rare,y,an,2,g,e,4
1033,貉,h,e,2,豸,各,r,r,rhyming,rhyming,mid,zh,i,4,g,e,4
1034,賂,l,u,4,貝,各,r,r,radical,radical,low,b,ei,4,g,e,4
1035,輅,l,u,4,車,各,r,l,radical,radical,low,ch,e,1,g,e,4
1036,酪,l,ao,4,酉,各,r,r,radical,radical,high,y,ou,3,g,e,4
1037,鉻,g,e,4,釒,各,r,r,regular,regular,rare,j,in,1,g,e,4
1038,駱,l,uo,4,馬,各,r,r,radical,radical,high,m,a,3,g,e,4
1039,骼,g,e,2,骨,各,r,r,regular,regular,high,g,u,3,g,e,4
1040,鮥,l,uo,4,魚,各,r,r,radical,radical,rare,y,u,2,g,e,4
1041,哈,h,a,1,口,合,r,r,alliterating,alliterating,high,k,ou,3,h,e,2
1042,姶,y,an,3,女,合,r,l,radical,radical,low,n,v,3,h,e,2
1043,恰,q,ia,4,忄,合,r,l,radical,radical,high,x,in,1,h,e,2
1044,拾,sh,i,2,扌,合,r,l,radical,alliterating,high,sh,ou,3,h,e,2
1045,洽,q,ia,4,氵,合,r,l,radical,radical,high,sh,ui,3,h,e,2
1046,祫,x,ia,2,礻,合,r,l,radical,radical,low,sh,i,4,h,e,2
1047,給,g,ei,3,糸,合,r,r,radical,radical,mid,m,i,4,h,e,2
1048,蛤,h,a,2,虫,合,r,r,alliterating,alliterating,high,ch,ong,2,h,e,2
1049,袷,j,ia,2,衤,合,r,r,radical,radical,mid,y,i,1,h,e,2
1050,詥,h,e,2,言,合,r,r,regular,regular,low,y,an,2,h,e,2
1051,鞈,j,ia,2,革,合,r,l,radical,radical,low,g,e,2,h,e,2
1052,韐,g,e,2,韋,合,r,r,rhyming,rhyming,rare,w,ei,2,h,e,2
1053,佶,j,i,2,亻,吉,r,r,regular,regular,high,r,en,2,j,i,2
1054,姞,j,i,2,女,吉,r,r,regular,regular,low,n,v,3,j,i,2
1055,拮,j,ie,2,扌,吉,r,r,alliterating,alliterating,mid,sh,ou,3,j,i,2
1056,桔,j,ie,2,木,吉,r,r,alliterating,alliterating,high,m,u,4,j,i,2
1057,硈,j,ia,2,石,吉,r,r,alliterating,alliterating,rare,sh,i,2,j,i,2
1058,結,j,ie,2,糸,吉,r,r,alliterating,alliterating,mid,m,i,4,j,i,2
1059,袺,j,ie,2,衤,吉,r,r,alliterating,alliterating,low,y,i,1,j,i,2
1060,詰,j,ie,2,言,吉,r,r,alliterating,alliterating,low,y,an,2,j,i,2
1061,鮚,j,ie,2,魚,吉,r,r,alliterating,alliterating,mid,y,u,2,j,i,2
1062,黠,x,ia,2,黑,吉,r,r,radical,radical,high,h,ei,1,j,i,2
1063,侗,t,ong,1,亻,同,r,r,regular,regular,high,r,en,2,t,ong,2
1064,恫,t,ong,1,忄,同,r,r,regular,regular,mid,x,in,1,t,ong,2
